emotion,sent_id,f0_mean,f0_std,f0_range,voiced_ratio,duration,words_per_sec,syllables_per_sec,rms_mean,rms_std,pause_count,pause_total,pause_max,spectral_centroid,mfcc_mean,mfcc_std,jitter_proxy,shimmer_proxy
angry,s1,0.5687300946305566,2.923951635721801,1.3755694717345808,-0.09847238542890709,-0.19178082191780824,0.0,0.0,0.15108778018387853,0.13683530631761687,0.0,-0.6666666666666666,0.0,-0.11686559471417307,-0.1884251796573467,-0.07162670598650513,0.31812161132533784,0.03174940348378885
angry,s2,0.39437334473077823,0.1277186522721667,0.21506352948139978,-0.1251225490196078,-0.15624999999999997,0.0,0.0,0.32756402558673586,0.5691451469579991,0.0,0.5681818181818182,0.0,-0.15507071218658666,-0.3167800995579372,0.021208593075346772,0.14349607246729945,-0.16879348331201274
angry,s3,0.46871578270328074,-0.28823366956235374,-0.233686411120503,0.027256693923360553,-0.15189873417721517,0.0,0.0,0.3825087945038438,-0.05706987303300631,-1.0,-0.8104575163398693,-1.0,0.03002652649933197,0.06986268355370331,-0.13423964197799226,-0.10379270257898947,-0.05030018023723879
angry,s4,0.19852932142915317,-0.12548771270237938,0.07880787534709773,0.2893772893772893,-0.11428571428571424,0.0,0.0,0.1694703080078159,0.23950757777743448,0.0,0.7567567567567568,0.0,-0.02831774164837081,-0.2444696124438789,0.008967043922909111,0.2200373335496679,0.046656621424675596
angry,s5,0.4345974344469854,0.4185028759596766,0.05463515374986281,-0.06460584869675788,-0.30379746835443033,0.0,0.0,0.3272112796135892,-0.07997929244238768,0.0,-0.6611570247933884,0.0,-0.10971568178327416,0.1469679470997483,-0.12207908012602307,0.1247537146536969,0.12891958450290983
fearful,s1,0.3916795036765121,3.8641738740214437,2.2389516972567227,-0.042503047541649734,-0.21917808219178087,0.0,0.0,0.0990337510726587,-0.06320504363080887,0.0,-0.8275862068965517,0.0,-0.15814188129189974,0.04510946708792035,-0.08571638515331018,0.5908563950068957,0.02826394937947699
fearful,s2,0.2166701551882374,0.03238782798448962,0.2328623605533982,0.11009174311926609,-0.09375000000000008,0.0,0.0,0.1941542808897517,0.23246450527143925,0.0,0.1590909090909092,0.0,-0.1259159841566677,-0.14135071716256561,0.04013316536232126,0.23927519114567614,0.002195900366032058
fearful,s3,0.3146757194206708,-0.20766622968841375,-0.3701317714589357,0.1720747295968534,-0.2405063291139241,0.0,0.0,0.2958383580771916,-0.02502489169719917,-1.0,-0.6078431372549019,-1.0,0.09991731953250622,0.10817180223651389,-0.12029703693624297,0.10170994886135439,0.05373933668530719
fearful,s4,0.10679070902760969,-0.3690449519982101,-0.3293640324864211,-0.06043956043956041,-0.21428571428571416,0.0,0.0,0.0294159238908511,0.029816614347418082,0.0,-0.5540540540540541,0.0,-0.07294351601732334,0.010190666512989615,-0.03506945891867106,0.2340629773775272,0.0526827602867587
fearful,s5,0.4741855174395456,0.3325265516933258,0.009315039862812888,-0.17116973935155752,-0.30379746835443033,0.0,0.0,0.24618893151626425,-0.10555801720400733,0.0,-0.7272727272727273,0.0,-0.05935988154075718,0.19105620189632086,-0.13402782043214662,0.1869473684288741,0.054651286467290915
happy,s1,0.41384628841549187,3.1792940292586214,2.32629423610378,-0.11612903225806448,-0.09589041095890405,0.0,0.0,0.05051034990627057,0.04815517680693483,0.0,-0.471264367816092,0.0,-0.004206529094406644,-0.22623210629647178,-0.05109826451501918,0.25340839137981164,0.003094635542708768
happy,s2,0.4629272706176552,0.08419795872905683,0.08874152574678132,-0.0870495495495495,-0.07812500000000007,0.0,0.0,0.36666537762194934,0.3158983287792908,0.0,-0.03409090909090912,0.0,-0.08705478887925384,-0.03075517771374104,-0.053718918037829626,0.2555608899479973,0.028709859393191026
