,happy,sad,angry,fearful,surprised,low_energy
Pauses,2.9104353396771168,7.470987292564895,0.36421465218256666,0.32505646897127627,0.3555865699236527,5.341420845801506
Pitch,0.4362410261263933,0.1990797695540876,0.42557188660192485,0.5023352380902818,0.5084617921870411,0.43485619724143804
Energy,0.14120766294782464,0.1091720543291345,0.2440379384424307,0.13207003175975895,0.2518073431058143,0.08109409641561796
Tempo,0.13614123770715147,0.07875577485199034,0.18360254774703355,0.21430351878916984,0.1533213914142039,0.05276143203943619
Voice quality,0.09357212109540161,0.09686425418909678,0.13366207075356168,0.1544385114005193,0.18493706912379007,0.1340596842791702
Timbre,0.06271845735261287,0.04075392730331365,0.11764152294887513,0.0951600869492104,0.10280420849018068,0.08695600205072541
