model,feature,condition,n,mean,sd,eta_squared
xtts,f0_range,cold,5,180.84748,74.913896,
xtts,f0_range,primed_neutral,5,165.1305,44.74556,
xtts,f0_range,primed_owl,5,148.29218,30.350389,
xtts,f0_range,primed_death,5,156.76518,58.176895,
xtts,f0_range,ANOVA,20,0.323285,0.8084776332,0.057152
xtts,speech_rate,cold,5,8.73832,0.771017,
xtts,speech_rate,primed_neutral,5,11.0697,4.273138,
xtts,speech_rate,primed_owl,5,8.43416,0.93437,
xtts,speech_rate,primed_death,5,9.2032,1.051422,
xtts,speech_rate,ANOVA,20,1.341262,0.2961496315,0.20095
xtts,pause_count,cold,5,1.6,0.547723,
xtts,pause_count,primed_neutral,5,1.6,0.547723,
xtts,pause_count,primed_owl,5,1.0,0.0,
xtts,pause_count,primed_death,5,1.4,0.547723,
xtts,pause_count,ANOVA,20,1.777778,0.1918815635,0.25
xtts,pause_duration_mean,cold,5,0.514,0.077088,
xtts,pause_duration_mean,primed_neutral,5,0.486,0.098133,
xtts,pause_duration_mean,primed_owl,5,0.552,0.017889,
xtts,pause_duration_mean,primed_death,5,0.528,0.070054,
xtts,pause_duration_mean,ANOVA,20,0.730769,0.5485898098,0.120507
xtts,rms_energy,cold,5,0.111163,0.002284,
xtts,rms_energy,primed_neutral,5,0.100244,0.011114,
xtts,rms_energy,primed_owl,5,0.110423,0.004412,
xtts,rms_energy,primed_death,5,0.10514,0.003621,
xtts,rms_energy,ANOVA,20,3.218716,0.0508750323,0.376368
xtts,spectral_centroid,cold,5,1521.77904,47.443171,
xtts,spectral_centroid,primed_neutral,5,1494.22292,71.079933,
xtts,spectral_centroid,primed_owl,5,1531.44736,50.944923,
xtts,spectral_centroid,primed_death,5,1501.02784,61.760071,
xtts,spectral_centroid,ANOVA,20,0.442496,0.7258424549,0.076612
