model,feature,condition_a,condition_b,mean_a,mean_b,t,p,p_bonferroni_6,cohens_d
kokoro,f0_mean,cold,primed_death,189.95714,205.03662,-116.462627,1.1e-08,6.58e-08,-73.657433
kokoro,f0_mean,primed_neutral,primed_owl,207.58266,195.98814,13.839417,7.56494e-05,0.0004538967,8.752816
kokoro,f0_mean,primed_neutral,primed_death,207.58266,205.03662,3.128044,0.0351641633,0.2109849798,1.978349
kokoro,f0_mean,primed_owl,primed_death,195.98814,205.03662,-44.90739,1.06e-06,6.3603e-06,-28.401927
kokoro,f0_std,cold,primed_neutral,45.24176,51.50938,-5.306319,0.0056761657,0.0340569942,-3.356011
kokoro,f0_std,cold,primed_owl,45.24176,50.66622,-17.490089,4.4537e-06,2.67219e-05,-11.061704
kokoro,f0_std,cold,primed_death,45.24176,49.28756,-28.797382,2.529e-07,1.5172e-06,-18.213064
kokoro,f0_std,primed_neutral,primed_owl,51.50938,50.66622,0.6981,0.5197973508,1.0,0.441517
kokoro,f0_std,primed_neutral,primed_death,51.50938,49.28756,1.889757,0.1314317427,0.7885904563,1.195188
kokoro,f0_std,primed_owl,primed_death,50.66622,49.28756,4.775118,0.0071598705,0.0429592232,3.02005
kokoro,f0_range,cold,primed_neutral,208.7978,271.28446,-104.223676,4.7e-08,2.823e-07,-65.916841
kokoro,f0_range,cold,primed_owl,208.7978,265.29482,-165.918505,6e-09,3.62e-08,-104.936076
kokoro,f0_range,cold,primed_death,208.7978,266.46422,-40.934034,2.1067e-06,1.26405e-05,-25.888956
kokoro,f0_range,primed_neutral,primed_owl,271.28446,265.29482,8.704829,9.46503e-05,0.0005679018,5.505417
kokoro,f0_range,primed_neutral,primed_death,271.28446,266.46422,3.149658,0.022856781,0.137140686,1.992018
kokoro,f0_range,primed_owl,primed_death,265.29482,266.46422,-0.807227,0.460376524,1.0,-0.510535
kokoro,speech_rate,cold,primed_neutral,14.46754,9.59812,19.10086,2.24238e-05,0.0001345429,12.080445
kokoro,speech_rate,cold,primed_owl,14.46754,9.54618,18.347163,5.952e-06,3.57122e-05,11.603765
kokoro,speech_rate,cold,primed_death,14.46754,9.70908,18.95545,3.68809e-05,0.0002212857,11.988479
kokoro,speech_rate,primed_neutral,primed_owl,9.59812,9.54618,0.461233,0.660499467,1.0,0.291709
kokoro,speech_rate,primed_neutral,primed_death,9.59812,9.70908,-1.812205,0.117816994,0.7069019642,-1.146139
kokoro,speech_rate,primed_owl,primed_death,9.54618,9.70908,-1.574153,0.1797234893,1.0,-0.995582
kokoro,pause_count,cold,primed_neutral,3.0,1.0,inf,0.0,0.0,0.0
kokoro,pause_count,cold,primed_owl,3.0,1.0,inf,0.0,0.0,0.0
kokoro,pause_count,cold,primed_death,3.0,1.0,inf,0.0,0.0,0.0
kokoro,pause_count,primed_neutral,primed_owl,1.0,1.0,nan,nan,nan,0.0
kokoro,pause_count,primed_neutral,primed_death,1.0,1.0,nan,nan,nan,0.0
