model,window_idx,time_start,time_end,f0_mean,f0_std,cpp_mean,spectral_flatness,spectral_tilt_ratio,mfcc_mean,rms_mean,spectral_centroid,voiced_frame_ratio,too_little_voicing,has_clipping
chatterbox,0,0.0,15.0,196.4266364577649,21.030171952463974,14.561910539117495,,1.7686105508102454,9.393456323920098,0.08002547919750214,1620.0551739349798,0.250501002004008,False,False
chatterbox,1,15.0,30.0,179.1158695667188,17.319220649003952,13.865714553461991,,1.4709540943491362,10.966937229685474,0.06083373352885246,1635.299129819992,0.1843687374749499,False,False
chatterbox,2,30.0,45.0,191.59113390535873,18.220425628790473,14.056672181734143,,1.5854138920523562,10.364392493351767,0.06650044023990631,1676.2782738507974,0.23380093520374082,False,False
chatterbox,3,45.0,60.0,192.75132925502174,25.455406047648864,13.656851058068003,,2.077080218271648,11.127673535230866,0.0658973678946495,1559.6530295951136,0.28390113560454244,False,False
chatterbox,4,60.0,75.0,186.63106639896992,18.0222602138254,13.978575158504698,,1.8498075648140828,10.77175278288022,0.06799149513244629,1607.4253792584304,0.2792251169004676,False,False
chatterbox,5,75.0,90.0,185.36271628578052,19.19575815729456,13.877462089154484,,1.8755647123050465,9.843128149049754,0.0710715651512146,1562.916238409524,0.2578490313961256,False,False
chatterbox,6,90.0,105.0,182.18957184933882,15.224572434035755,13.473673639922698,,1.7964087468742898,10.529687508293376,0.07002425938844681,1442.1353015794607,0.218436873747495,False,False
chatterbox,7,105.0,120.0,188.1733302795351,20.096786223111767,14.308757168016408,,1.9516528190659108,10.259457277051842,0.06610877811908722,1575.4883551070027,0.2558450233800935,False,False
chatterbox,8,120.0,135.0,184.15428111415332,18.88332270945683,14.105930707808962,,2.0433612940924313,10.632991219540017,0.07962645590305328,1427.5467921166128,0.2798931195724783,False,False
chatterbox,9,135.0,150.0,188.86747640737792,18.345034459956157,14.053797244124125,,1.892181502874663,9.284974523380141,0.071592316031456,1608.6167419382841,0.29325317301269205,False,False
chatterbox,10,150.0,165.0,191.12076707011266,21.395007563671715,14.209348416860292,,1.7994843808651775,9.851079697449405,0.06982950866222382,1715.0509046880725,0.2905811623246493,False,False
chatterbox,11,165.0,180.0,192.24701634557718,23.540634703022285,14.444268827433758,,1.7329492337927634,10.248136361370086,0.06986629962921143,1570.0472690313031,0.27187708750835005,False,False
