model,window_idx,time_start,time_end,drift_from_reference,drift_f0_mean,drift_f0_std,drift_cpp_mean,drift_spectral_flatness,drift_spectral_tilt_ratio,drift_mfcc_mean,drift_rms_mean,drift_spectral_centroid
chatterbox,0,0.0,15.0,0.6048840194900661,0.338565685222822,0.5222827059362374,1.2986871497615182,,0.45648339487762596,0.4691627332566012,0.48289961108028095,0.6661068562953776
chatterbox,1,15.0,30.0,0.44213997502992275,1.2364193147529652,0.19617607858996758,0.5441694788450632,,0.07555441895571764,0.23109195163517535,0.0933603021294655,0.7182082803011054
chatterbox,2,30.0,45.0,0.37797383172055327,0.10138270269773522,0.2753711130901051,0.751123997251219,,0.12903358583961766,0.3222581652290192,0.20837876133386957,0.8582684966023073
chatterbox,3,45.0,60.0,0.44336626015247965,0.004175317016918603,0.9111582389169448,0.31780908417004755,,1.00784898412533,0.2067722298286257,0.19613806219817667,0.4596619048113138
chatterbox,4,60.0,75.0,0.45727567861213114,0.5526643801992944,0.2579569651139025,0.6664846352228566,,0.6016167554437233,0.26062374553302975,0.23864304799521915,0.6229402207768926
chatterbox,5,75.0,90.0,0.4866858773040951,0.6680626416145183,0.36108024139772277,0.5569011283408037,,0.6476556574873811,0.40112649431051944,0.3011599428804556,0.47081503509726486
chatterbox,6,90.0,105.0,0.31849757459140643,0.9567647494764941,0.012105038847874248,0.11928653915227784,,0.5061705128332117,0.2972487016498396,0.27990253513170643,0.05800494504844137
chatterbox,7,105.0,120.0,0.5304195636957135,0.4123446304630186,0.4402597292595063,1.0243266307648484,,0.7836572428756607,0.33813507156617306,0.2004291045115981,0.5137845364291889
chatterbox,8,120.0,135.0,0.5183264313931002,0.7780096636462497,0.33362440546077976,0.8045090053991129,,0.9475790241909436,0.28161864526290264,0.4748005428111131,0.008143732980599831
chatterbox,9,135.0,150.0,0.49788481362331005,0.3491891535263372,0.2863213418444177,0.7480082205529396,,0.6773568809471193,0.48557624482297457,0.31172974416518856,0.627012109504193
chatterbox,10,150.0,165.0,0.5419199724608222,0.14417807477232053,0.5543433019876707,0.916590216110857,,0.5116679698819129,0.39992340926787995,0.2759496345138904,0.9907872006912241
chatterbox,11,165.0,180.0,0.49432382930827234,0.04170856973798234,0.7428942078709813,1.1711903641851624,,0.3927415585002991,0.33984794856083533,0.2766963892960461,0.4951877670066003
chatterbox,12,180.0,195.0,0.5448287835645095,1.061108656230095,0.0973186084724993,0.9671475095104486,,0.39709296355720863,0.3646293335816205,0.3498295118973861,0.5766749017023086
chatterbox,13,195.0,210.0,0.4783512905122482,0.8955344116031031,0.5313508418559603,0.318000917898866,,0.152537703627765,0.31605099284328136,0.09558922451387243,1.0393949412428891
chatterbox,14,210.0,225.0,0.39374790928673714,0.45052583204510066,0.19946602017593903,0.17396379650199034,,0.5269218623088422,0.42116185843138815,0.36213266743750133,0.6220633281063983
chatterbox,15,225.0,240.0,0.5462920299214358,0.8688108788694132,0.6563492224264237,0.3116876133632677,,0.6743675141181648,0.3607597800112809,0.309107180084153,0.6429620205773472
chatterbox,16,240.0,255.0,0.5736632495711989,0.39887448098154143,0.6052096754906744,1.246346347518287,,0.4005469878726066,0.3872304063727692,0.38583888040849706,0.5915959683540166
chatterbox,17,255.0,270.0,0.501802724325904,0.418412619204392,0.45951900217050934,0.9925805580793874,,0.22187410313016218,0.3178487020801455,0.1864208740081761,0.915963211608556
chatterbox,18,270.0,285.0,0.5673013195825788,0.2818274219328254,0.6497611307496921,0.8626658854610985,,0.8497817031831604,0.3544290936464241,0.3968656871512445,0.5757783149536068
xtts,0,0.0,15.0,0.5271519639412171,0.4227253815571579,0.05728801084425036,0.2819420737819075,,0.8915446550175423,0.535108642442823,1.2890935332963946,0.21236145064844408
xtts,1,15.0,30.0,0.4568647027748905,0.2284469252886962,0.07396829849845789,0.4090065547709477,,0.47331055408513706,0.6201214172848618,0.9503100338641773,0.4428891356319554
xtts,2,30.0,45.0,0.5397272224234648,0.18559443961245306,0.03991878181499434,1.1350694249064668,,0.6257452148322794,0.41733809012453865,1.0754775075608185,0.2989470981127034
xtts,3,45.0,60.0,0.5738453913913482,0.06380393338660292,0.029043128009613426,1.222153919436277,,1.1434635619675457,0.3887926860566639,1.07035018457803,0.09931032630470425
xtts,4,60.0,75.0,0.47421059995075426,0.39253004023601745,0.08379013363548168,0.02042812270359325,,0.8232206120206096,0.541243331362424,1.1864309319491528,0.2718310277480015
xtts,5,75.0,90.0,0.6223366002777967,0.29235290026708133,0.1349981558336749,1.0610234605215827,,0.9139946212344258,0.6396754519807277,1.058801647580437,0.2555099645266474
xtts,6,90.0,105.0,0.7205800203092315,0.6039166475664386,0.43472739760528356,1.181069244269725,,0.9655998454018305,0.45898405829203387,1.1700859548086577,0.2296769942206508
xtts,7,105.0,120.0,0.43483243761407525,0.00508462689445621,0.06750370491642556,0.2724718665723195,,0.5367157559999981,0.582588285843308,1.0148826971796734,0.564580125892346
xtts,8,120.0,135.0,0.5501171200775341,0.4514585943398131,0.18037339509731495,0.06592158454531939,,1.0915503313887944,0.6685551030244385,1.2094781013112712,0.18348273083578698
xtts,9,135.0,150.0,0.5694337534101768,0.3146640274076127,0.26807188659638803,0.19939265186029898,,1.3832599187585146,0.5243380082579406,1.1469515279517437,0.14935825303873845
xtts,10,150.0,165.0,0.7820289877491661,0.503357468317484,0.1566588464766367,1.0676974029235955,,1.562197347554361,0.5818346545767585,1.2517349249784002,0.35072226941692647
xtts,11,165.0,180.0,0.5149751404142213,0.2091520387245976,0.11025030800371145,0.40433856239921556,,1.0383201563828899,0.3674990996603385,1.1277624404046036,0.34750337732419256
xtts,12,180.0,195.0,0.5912971896265005,0.5183423557971946,0.21201353391417727,0.6540174400024348,,0.5998042430708234,0.5627693026078916,1.1739432804928314,0.41819017150015136
xtts,13,195.0,210.0,0.8062726379331968,0.993948661372096,0.4168319900005056,1.063494379703481,,1.1639288949711568,0.6332387774056474,1.2628095191879678,0.10965624289152201
xtts,14,210.0,225.0,0.4902714179876765,0.20593567812251629,0.060941593244169937,0.5961575399239641,,0.777702982698534,0.4647502423575385,0.9805888382369681,0.3458230513300442
xtts,15,225.0,240.0,0.6284059951024105,0.3958353955121436,0.3033174134160717,1.1277702245620824,,0.38685739937401237,0.6321791132339928,0.9685858666260934,0.5842965529924781
xtts,16,240.0,255.0,0.6859652485630793,0.6655165213655702,0.18078333853254439,1.079751367515354,,0.9790440586683581,0.528595053179297,1.154636538992569,0.21342986168786177
xtts,17,255.0,270.0,0.4797634594186867,0.2629319834402488,0.33977219870864106,0.35450143054689304,,0.7765030630658276,0.5417439203449157,1.0718052826974924,0.01108633712678797
xtts,18,270.0,285.0,0.5827826273508012,0.618790735681257,0.499053035273212,0.28628470385841503,,0.6345184118152997,0.578688466137034,1.165130424744569,0.29701261394582207
xtts,19,285.0,300.0,0.5443398497115223,0.31150678225551204,0.061385371080955334,0.3586061366378493,,0.4178814651430642,0.5979860751770312,1.3136765555478547,0.7493365621383891
xtts,20,300.0,315.0,0.6596224431381851,0.5730836979639529,0.3907964120047935,0.8442823931402312,,0.6289709375960483,0.5812386069875954,1.191942520606597,0.4070425336680764
kokoro,0,0.0,15.0,1.1503799099787402,1.9100395844535611,1.6261510262713175,0.14450451634703346,,0.6495444021051585,1.7979171798981666,0.23311731969174027,1.6913853410842024
kokoro,1,15.0,30.0,1.3548838754743144,1.6502233582637684,1.3646185376083746,1.1766390002361125,,0.9280486824605317,1.7474920880094367,0.3648017335629921,2.2523637281789846
